plant	deficiency	light	date	time	NL	H	Fv.Fm	RMR	LMR	SMR	TDM	RAD	RLR	Chl_a	Chl_b	Chl_a.b	Chl_total
34SN	(-) N	Low	2018-10-11	4	4	6.6	0.272							1.012	1.651	0.613	2.663
35SN	(-) N	Low	2018-10-11	4	8	8.5	0.740							1.159	1.837	0.631	2.996
36SN	(-) N	Low	2018-10-11	4	5	6.4	0.743							1.347	2.139	0.630	3.486
37N	(-) N	Low	2018-10-11	4	6	9.5	0.811	0.284	0.555	0.162	0.336	1.944	0.512				
38SN	(-) N	Low	2018-10-11	4	4	4.5	0.768							1.340	2.104	0.637	3.444
39N	(-) N	Low	2018-10-11	4	5	5.9	0.132	0.436	0.434	0.130	0.345	3.517	1.004				
40SN	(-) N	Low	2018-10-11	4	5	6.8	0.692							0.525	0.770	0.682	1.296
10C	C	High	2018-09-19	1	6	10	0.817										
11C	C	High	2018-09-19	1	6	5.2	0.815										
12C	C	High	2018-09-19	1	6	8.8	0.799										
13C	C	High	2018-09-19	1	9	8.7	0.813										
14C	C	High	2018-09-19	1	7	6.5	0.809										
15C	C	High	2018-09-19	1	6	6.2	0.811										
16C	C	High	2018-09-19	1	7	6.5	0.785										
17C	C	High	2018-09-19	1	6	6.4	0.806										
18C	C	High	2018-09-19	1	7	8	0.806										
19C	C	High	2018-09-19	1	9	7.7	0.816										
1C	C	High	2018-09-19	1	6	5	0.821										
20C	C	High	2018-09-19	1	5	4.1	0.823										
2C	C	High	2018-09-19	1	7	8.5	0.801										
3C	C	High	2018-09-19	1	5	5.3	0.817										
4C	C	High	2018-09-19	1	6	6.3	0.799										
5C	C	High	2018-09-19	1	5	8	0.803										
6C	C	High	2018-09-19	1	6	7.3	0.792										
7C	C	High	2018-09-19	1	6	5.5	0.790										
8C	C	High	2018-09-19	1	5	5.9	0.814										
9C	C	High	2018-09-19	1	6	9.8	0.826										
10C	C	High	2018-09-27	2	7	10	0.772										
11C	C	High	2018-09-27	2	7	12.9	0.812										
12C	C	High	2018-09-27	2	8	14.7	0.814										
13C	C	High	2018-09-27	2	9	8.7	0.799										
14C	C	High	2018-09-27	2	9	8.5	0.812										
15C	C	High	2018-09-27	2	7	10	0.808										
16C	C	High	2018-09-27	2	8	9.2	0.737										
17C	C	High	2018-09-27	2	8	11.5	0.805										
18C	C	High	2018-09-27	2	10	17	0.752										
19C	C	High	2018-09-27	2	9	10.8	0.821										
1C	C	High	2018-09-27	2	8	8.5	0.802										
20C	C	High	2018-09-27	2	7	12.9	0.775										
2C	C	High	2018-09-27	2	10	13.3	0.801										
3C	C	High	2018-09-27	2	6	10	0.764										
4C	C	High	2018-09-27	2	7	9.5	0.795										
5C	C	High	2018-09-27	2	7	12.5	0.792										
6C	C	High	2018-09-27	2	8	10.5	0.796										
7C	C	High	2018-09-27	2	7	11.1	0.814										
8C	C	High	2018-09-27	2	8	8.7	0.785										
9C	C	High	2018-09-27	2	9	11.3	0.791										
10C	C	High	2018-10-04	3	8	10	0.813										
11C	C	High	2018-10-04	3	8	12.9	0.801										
12C	C	High	2018-10-04	3	10	14.7	0.820										
13C	C	High	2018-10-04	3	11	14	0.625										
14C	C	High	2018-10-04	3	11	8.5	0.825										
15C	C	High	2018-10-04	3	9	10	0.804										
16C	C	High	2018-10-04	3	8	9.2	0.827										
17C	C	High	2018-10-04	3	9	11.5	0.821										
18C	C	High	2018-10-04	3	10	17	0.783										
19C	C	High	2018-10-04	3	10	10.8	0.815										
1C	C	High	2018-10-04	3	8	8.5	0.819										
20C	C	High	2018-10-04	3	9	12.9	0.821										
2C	C	High	2018-10-04	3	11	13.3	0.816										
3C	C	High	2018-10-04	3	8	10	0.817										
4C	C	High	2018-10-04	3	9	9.5	0.816										
5C	C	High	2018-10-04	3	8	12.5	0.806										
6C	C	High	2018-10-04	3	8	10.5	0.758										
7C	C	High	2018-10-04	3	8	11.1	0.818										
8C	C	High	2018-10-04	3	8	8.7	0.819										
9C	C	High	2018-10-04	3	9	11.3	0.820										
10C	C	High	2018-10-11	4	10	17.5	0.811	0.268	0.535	0.198	1.896	2.369	0.501				
11C	C	High	2018-10-11	4	11	24.6	0.814	0.223	0.532	0.245	2.102	2.028	0.419				
12C	C	High	2018-10-11	4	11	25	0.813	0.271	0.475	0.253	1.175	1.629	0.571				
13C	C	High	2018-10-11	4	15	24	0.803							1.193	1.842	0.647	3.035
14C	C	High	2018-10-11	4	11	16	0.795	0.276	0.547	0.177	1.798	2.541	0.505				
